customer,category,date,amount
CUST_0189,Housing and Utilities,2024-04-30,6872.4
CUST_0189,Travel,2023-10-14,31.46
CUST_0189,Medical/Dental,2025-01-03,477.96
CUST_0189,Hobbies,2024-05-17,223.71
CUST_0189,Travel,2023-04-05,28.91
CUST_0189,Medical/Dental,2024-05-26,607.11
CUST_0189,Hobbies,2024-03-15,26.41
CUST_0189,Friend Activities,2024-02-23,616.41
CUST_0189,Transportation,2023-09-13,4.11
CUST_0189,Hobbies,2023-05-18,21.13
CUST_0189,Hobbies,2024-04-14,202.45
CUST_0189,Transportation,2024-09-19,7.24
CUST_0189,Transportation,2023-09-08,31.89
CUST_0189,Fitness,2023-03-28,703.08
CUST_0189,Travel,2023-08-02,1315.87
CUST_0189,Housing and Utilities,2024-11-02,3146.36
CUST_0189,Food,2024-07-18,11.65
CUST_0189,Transportation,2024-08-11,178.63
CUST_0189,Transportation,2024-05-27,92.94
CUST_0189,Shopping,2024-10-17,2982.89
CUST_0189,Food,2023-04-08,64.91
CUST_0189,Fitness,2024-08-11,158.89
CUST_0189,Medical/Dental,2024-08-22,646.72
CUST_0189,Shopping,2023-06-22,73.8
CUST_0189,Groceries,2023-09-05,33.78
CUST_0189,Fitness,2023-10-24,777.29
CUST_0189,Transportation,2024-11-19,2.97
CUST_0189,Fitness,2023-06-15,854.96
CUST_0189,Medical/Dental,2024-02-22,470.96
CUST_0189,Medical/Dental,2024-04-21,562.75
CUST_0189,Fitness,2024-03-15,1013.08
CUST_0189,Subscriptions,2024-05-18,15.23
CUST_0189,Medical/Dental,2023-11-09,447.5
CUST_0189,Personal Hygiene,2023-12-17,18.54
CUST_0189,Groceries,2025-01-12,21.07
CUST_0189,Travel,2024-05-24,1096.35
CUST_0189,Friend Activities,2023-12-16,16.54
CUST_0189,Gifts,2024-06-07,137.44
CUST_0189,Travel,2023-12-22,856.93
CUST_0189,Groceries,2024-08-11,8.22
CUST_0189,Travel,2023-02-14,1410.84
CUST_0189,Housing and Utilities,2023-02-13,186.96
CUST_0189,Travel,2024-05-16,46.77
CUST_0189,Medical/Dental,2023-04-18,364.07
CUST_0189,Gifts,2024-05-30,45.81
CUST_0189,Gifts,2024-02-26,1989.61
CUST_0189,Housing and Utilities,2023-11-25,82.0
CUST_0189,Subscriptions,2023-04-15,10.25
CUST_0189,Medical/Dental,2023-11-07,356.7
CUST_0189,Groceries,2024-12-12,49.13
