customer,category,date,amount
CUST_0004,Gifts,2025-01-03,337.53
CUST_0004,Shopping,2023-12-20,76.73
CUST_0004,Housing and Utilities,2024-03-26,1981.56
CUST_0004,Medical/Dental,2023-01-11,812.33
CUST_0004,Housing and Utilities,2024-07-14,6241.94
CUST_0004,Fitness,2023-11-02,104.9
CUST_0004,Personal Hygiene,2023-12-26,19.09
CUST_0004,Fitness,2023-12-31,79.44
CUST_0004,Personal Hygiene,2023-12-07,58.84
CUST_0004,Housing and Utilities,2023-09-29,191.33
CUST_0004,Gifts,2023-01-10,1373.88
CUST_0004,Friend Activities,2023-12-21,57.95
CUST_0004,Gifts,2023-05-24,266.27
CUST_0004,Fitness,2023-01-10,531.07
CUST_0004,Food,2024-10-16,386.39
CUST_0004,Housing and Utilities,2024-06-21,3529.86
CUST_0004,Housing and Utilities,2024-09-30,190.19
CUST_0004,Food,2023-12-07,12.0
CUST_0004,Travel,2023-12-05,15.71
CUST_0004,Groceries,2023-08-16,2.72
CUST_0004,Travel,2024-04-06,45.14
CUST_0004,Groceries,2024-12-06,24.17
CUST_0004,Gifts,2024-12-06,152.28
CUST_0004,Groceries,2023-03-04,13.89
CUST_0004,Medical/Dental,2023-12-30,441.83
CUST_0004,Friend Activities,2023-01-06,53.98
CUST_0004,Subscriptions,2024-04-25,11.99
CUST_0004,Hobbies,2024-01-20,294.27
CUST_0004,Transportation,2023-01-20,7.54
CUST_0004,Medical/Dental,2023-05-04,114.84
CUST_0004,Housing and Utilities,2024-09-23,6283.75
CUST_0004,Fitness,2024-08-16,52.27
CUST_0004,Transportation,2023-04-14,4.28
CUST_0004,Groceries,2024-12-23,3.76
CUST_0004,Hobbies,2024-10-16,122.89
CUST_0004,Housing and Utilities,2024-06-03,6673.06
CUST_0004,Transportation,2024-04-25,39.68
CUST_0004,Medical/Dental,2024-01-10,89.32
CUST_0004,Hobbies,2023-08-15,359.52
CUST_0004,Shopping,2024-10-31,74.82
CUST_0004,Housing and Utilities,2024-12-12,140.27
CUST_0004,Shopping,2024-12-14,1920.29
CUST_0004,Medical/Dental,2024-10-14,737.98
CUST_0004,Medical/Dental,2024-11-02,384.68
CUST_0004,Food,2024-01-14,76.62
