customer,category,date,amount
CUST_0167,Food,2023-03-09,31.47
CUST_0167,Travel,2023-06-26,408.96
CUST_0167,Travel,2024-03-10,258.4
CUST_0167,Personal Hygiene,2023-11-02,347.4
CUST_0167,Hobbies,2024-10-22,83.4
CUST_0167,Gifts,2023-09-03,87.31
CUST_0167,Housing and Utilities,2023-04-21,39.31
CUST_0167,Shopping,2024-04-19,54.53
CUST_0167,Personal Hygiene,2023-12-06,7.99
CUST_0167,Groceries,2024-11-16,59.25
CUST_0167,Personal Hygiene,2023-02-07,433.88
CUST_0167,Shopping,2024-04-12,346.95
CUST_0167,Groceries,2023-12-27,5.98
CUST_0167,Travel,2023-05-06,1352.38
CUST_0167,Fitness,2023-02-19,13.33
CUST_0167,Food,2024-09-28,24.99
CUST_0167,Gifts,2024-11-12,139.12
CUST_0167,Personal Hygiene,2024-09-03,74.88
CUST_0167,Groceries,2024-09-27,25.61
CUST_0167,Friend Activities,2024-08-11,239.78
CUST_0167,Groceries,2024-12-23,10.43
CUST_0167,Groceries,2023-12-25,34.27
CUST_0167,Food,2023-06-21,126.62
CUST_0167,Food,2023-09-16,34.71
CUST_0167,Food,2024-09-21,19.85
CUST_0167,Food,2024-06-04,7.71
CUST_0167,Groceries,2023-12-17,70.16
CUST_0167,Gifts,2023-11-25,43.93
CUST_0167,Hobbies,2024-02-28,77.7
CUST_0167,Groceries,2023-03-02,93.87
CUST_0167,Medical/Dental,2023-11-02,137.67
CUST_0167,Gifts,2024-04-18,98.33
CUST_0167,Food,2023-06-02,64.19
CUST_0167,Groceries,2024-01-12,13.31
CUST_0167,Subscriptions,2024-06-04,16.37
CUST_0167,Gifts,2024-08-18,929.73
CUST_0167,Shopping,2024-10-06,484.92
CUST_0167,Shopping,2023-11-03,229.21
CUST_0167,Personal Hygiene,2024-10-19,37.7
CUST_0167,Subscriptions,2024-03-01,53.88
CUST_0167,Fitness,2023-10-03,46.75
CUST_0167,Food,2024-08-15,261.91
CUST_0167,Transportation,2024-02-06,57.97
CUST_0167,Fitness,2024-02-17,446.67
CUST_0167,Personal Hygiene,2023-12-13,53.2
CUST_0167,Fitness,2023-09-27,18.8
