customer,category,date,amount
CUST_0057,Transportation,2023-04-01,9.22
CUST_0057,Gifts,2023-11-04,74.13
CUST_0057,Gifts,2024-07-08,141.57
CUST_0057,Transportation,2024-12-21,56.83
CUST_0057,Medical/Dental,2024-04-08,499.85
CUST_0057,Gifts,2024-08-25,27.51
CUST_0057,Groceries,2025-01-10,52.15
CUST_0057,Hobbies,2024-03-19,355.17
CUST_0057,Food,2023-09-21,103.07
CUST_0057,Hobbies,2023-04-07,103.17
CUST_0057,Gifts,2023-11-25,275.14
CUST_0057,Hobbies,2024-12-08,184.48
CUST_0057,Subscriptions,2023-05-04,11.76
CUST_0057,Medical/Dental,2023-06-24,87.22
CUST_0057,Groceries,2024-06-21,69.55
CUST_0057,Travel,2024-03-23,27.27
CUST_0057,Housing and Utilities,2023-02-07,142.61
CUST_0057,Housing and Utilities,2023-04-04,143.17
CUST_0057,Housing and Utilities,2024-11-27,168.1
CUST_0057,Food,2024-08-16,36.54
CUST_0057,Transportation,2024-07-08,2.41
CUST_0057,Fitness,2023-12-13,29.39
CUST_0057,Fitness,2024-10-21,92.39
CUST_0057,Travel,2023-03-11,10.21
CUST_0057,Groceries,2023-08-05,7.18
CUST_0057,Shopping,2023-08-23,184.1
CUST_0057,Fitness,2024-03-27,253.29
CUST_0057,Personal Hygiene,2024-08-10,5.79
CUST_0057,Travel,2023-11-05,115.26
CUST_0057,Gifts,2024-06-22,1068.96
CUST_0057,Fitness,2023-03-28,29.98
CUST_0057,Food,2023-06-15,283.93
CUST_0057,Housing and Utilities,2023-10-26,98.04
CUST_0057,Travel,2024-01-06,248.08
CUST_0057,Subscriptions,2024-11-29,8.39
CUST_0057,Hobbies,2023-10-02,71.61
CUST_0057,Travel,2024-05-19,34.93
CUST_0057,Groceries,2024-11-16,13.29
CUST_0057,Groceries,2024-01-06,4.84
CUST_0057,Transportation,2024-09-20,2.01
CUST_0057,Hobbies,2023-02-12,295.79
CUST_0057,Housing and Utilities,2023-10-08,184.97
CUST_0057,Groceries,2023-12-21,36.46
CUST_0057,Groceries,2023-06-05,4.58
CUST_0057,Personal Hygiene,2023-09-20,44.57
CUST_0057,Hobbies,2024-02-06,217.58
CUST_0057,Transportation,2023-11-09,712.91
CUST_0057,Hobbies,2024-05-04,90.85
CUST_0057,Housing and Utilities,2024-04-11,143.24
CUST_0057,Personal Hygiene,2023-08-01,7.16
CUST_0057,Food,2023-01-24,38.09
CUST_0057,Food,2024-02-09,244.29
CUST_0057,Shopping,2024-09-16,84389.3
CUST_0057,Food,2024-10-27,451.0
CUST_0057,Travel,2023-05-14,126.86
CUST_0057,Groceries,2024-12-02,33.66
