customer,category,date,amount
CUST_0094,Housing and Utilities,2023-12-16,76.06
CUST_0094,Personal Hygiene,2023-12-29,1988.81
CUST_0094,Fitness,2024-07-14,1824.01
CUST_0094,Fitness,2023-12-30,26.47
CUST_0094,Hobbies,2023-07-30,83.48
CUST_0094,Groceries,2024-03-08,11.48
CUST_0094,Food,2023-09-05,24.99
CUST_0094,Shopping,2024-04-01,85.73
CUST_0094,Transportation,2023-11-17,396.98
CUST_0094,Fitness,2024-04-15,130.51
CUST_0094,Shopping,2024-11-24,533.01
CUST_0094,Shopping,2023-07-04,155.52
CUST_0094,Groceries,2023-12-22,17.45
CUST_0094,Transportation,2024-06-23,31.87
CUST_0094,Travel,2023-02-21,311.39
CUST_0094,Groceries,2023-01-08,4.11
CUST_0094,Gifts,2023-11-16,77.66
CUST_0094,Travel,2024-02-23,478.11
CUST_0094,Personal Hygiene,2023-05-26,23.67
CUST_0094,Subscriptions,2024-02-13,11.68
CUST_0094,Shopping,2023-06-18,3796.62
CUST_0094,Food,2023-03-28,29.0
CUST_0094,Housing and Utilities,2023-04-28,75.5
CUST_0094,Fitness,2024-09-26,160.15
CUST_0094,Housing and Utilities,2023-01-05,6177.84
CUST_0094,Travel,2024-08-12,259.57
CUST_0094,Shopping,2025-01-09,127.41
CUST_0094,Transportation,2024-06-18,64.46
CUST_0094,Personal Hygiene,2024-10-23,5.96
CUST_0094,Housing and Utilities,2023-10-06,2968.83
CUST_0094,Hobbies,2024-10-26,34.44
CUST_0094,Travel,2023-04-07,44.5
CUST_0094,Medical/Dental,2023-08-03,228.12
CUST_0094,Shopping,2023-07-14,209.06
CUST_0094,Travel,2024-03-23,507.55
CUST_0094,Gifts,2024-11-21,285.04
CUST_0094,Medical/Dental,2023-10-14,587.31
CUST_0094,Travel,2024-06-21,229.58
CUST_0094,Food,2023-05-06,47.66
CUST_0094,Fitness,2023-09-04,159.66
CUST_0094,Shopping,2024-03-11,709.7
CUST_0094,Hobbies,2024-06-22,85.16
CUST_0094,Food,2023-06-28,12.29
CUST_0094,Travel,2024-01-06,535.05
CUST_0094,Food,2024-04-15,391.45
CUST_0094,Subscriptions,2024-09-24,55.6
CUST_0094,Subscriptions,2023-02-03,34.49
CUST_0094,Transportation,2023-11-10,4.75
