customer,category,date,amount
CUST_0033,Food,2023-02-10,185.54
CUST_0033,Gifts,2023-02-01,168.29
CUST_0033,Subscriptions,2023-08-10,42.05
CUST_0033,Friend Activities,2023-05-01,835.06
CUST_0033,Travel,2024-09-14,245.69
CUST_0033,Shopping,2024-03-23,217300.65
CUST_0033,Friend Activities,2024-09-19,176.44
CUST_0033,Gifts,2023-07-24,95.25
CUST_0033,Food,2023-02-02,68.19
CUST_0033,Gifts,2024-03-03,107.16
CUST_0033,Friend Activities,2024-04-04,79.4
CUST_0033,Gifts,2024-06-29,38.6
CUST_0033,Hobbies,2023-12-06,191.06
CUST_0033,Groceries,2024-03-19,13.78
CUST_0033,Shopping,2024-06-10,911.04
CUST_0033,Hobbies,2024-07-24,55.62
CUST_0033,Hobbies,2023-03-19,173.15
CUST_0033,Fitness,2024-04-01,322.57
CUST_0033,Groceries,2024-01-28,2.63
CUST_0033,Personal Hygiene,2023-12-31,2764.51
CUST_0033,Transportation,2023-11-23,186.74
CUST_0033,Food,2023-05-06,35.25
CUST_0033,Shopping,2024-04-12,445.69
CUST_0033,Groceries,2023-02-10,18.98
CUST_0033,Groceries,2024-08-19,12.43
CUST_0033,Transportation,2023-05-17,91.01
CUST_0033,Food,2024-11-02,147.8
CUST_0033,Housing and Utilities,2024-09-29,2763.66
CUST_0033,Hobbies,2023-08-07,61.83
CUST_0033,Subscriptions,2023-02-11,12.32
CUST_0033,Food,2023-11-11,267.93
CUST_0033,Medical/Dental,2024-05-08,234.39
CUST_0033,Fitness,2023-07-03,535.87
CUST_0033,Shopping,2023-04-27,241921.72
CUST_0033,Shopping,2024-01-11,202632.61
CUST_0033,Medical/Dental,2024-04-15,73.78
CUST_0033,Shopping,2023-01-07,936.89
CUST_0033,Travel,2023-10-11,31.59
CUST_0033,Fitness,2023-03-28,817.26
CUST_0033,Personal Hygiene,2024-01-01,25.13
CUST_0033,Transportation,2024-01-29,8.08
CUST_0033,Subscriptions,2024-07-25,11.0
CUST_0033,Friend Activities,2023-07-24,234.14
CUST_0033,Medical/Dental,2023-09-11,201.72
CUST_0033,Gifts,2023-07-29,862.2
